id,rz,spp,gen,nub,vol_ml,tot_zoox,zoox_cm2,tank,pco2,temp,time,sur_area,perchg_day_bw,prot_mg_cm2,chlA_ug_cm2,chlA_ug_zoox,chlA_pg_zoox
SNPZ25,N,P,Z,25,9.5,NA,NA,2800_31_3,2800,31,T0,12.58377651,NA,NA,NA,NA,NA
SNPZ26,N,P,Z,26,9,14130000,1154315.32,2800_31_3,2800,31,T60,12.24102267,0.002360346,0.508535942,7.434986638,6.44E-06,6.44E+00
SNPZ27,N,P,Z,27,12,3264000,233790.0408,2800_31_3,2800,31,T90,13.96124484,0.001023416,0.487062585,3.680221971,1.57E-05,1.57E+01
SNPZ28,N,P,Z,28,8,15872000,1284989.738,2800_31_3,2800,31,T30,12.35184962,0.002076693,0.458770698,7.623823389,5.93E-06,5.93E+00
SNPZ29,N,P,Z,29,37,150812000,12694227.41,2800_28_3,2800,28,T0,11.88036067,NA,1.038127855,20.6646925,1.63E-06,1.63E+00
SNPZ3,N,P,Z,3,10,54220000,4646711.111,280_31_3,280,31,T30,11.66846802,0.002272228,0.714175444,21.34052213,4.59E-06,4.59E+00
SNPZ30,N,P,Z,30,9,14850000,1069882.479,2800_28_3,2800,28,T90,13.88002915,0.001313641,0.416065409,11.0673658,1.03E-05,1.03E+01
SNPZ31,N,P,Z,31,10,23540000,1919656.404,2800_28_3,2800,28,T30,12.26261114,0.002306086,0.733938302,26.31269934,1.37E-05,1.37E+01
SNPZ32,N,P,Z,32,4.5,5535000,735450.2551,2800_28_3,2800,28,T60,7.526001877,0.001099716,0.468376179,4.799913764,6.53E-06,6.53E+00
SNPZ35/SNPZ38,N,P,Z,35,8.5,5474000,436809.2908,400_28_3,400,28,T30,12.53178473,0.000364469,0.525663355,3.400352059,7.78E-06,7.78E+00
SNPZ39,N,P,Z,39,5,310000,38566.76767,280_31_2,280,31,T60,8.038008336,NA,0.196980803,4.755964214,0.000123318,1.23E+02
SNPZ4,N,P,Z,4,27.5,38060000,3424875.43,280_31_3,280,31,T60,11.11281294,0.002756348,0.14435289,13.33408569,3.89E-06,3.89E+00
SNPZ43,N,P,Z,43,5,1500000,213828.808,400_28_3,400,28,T60,7.014957498,-0.001322792,0.326682901,3.349733766,1.57E-05,1.57E+01
SNPZ46,N,P,Z,46,9,17622000,1968610.346,400_28_3,400,28,T90,8.95149212,1.89E-05,0.318382674,13.75220112,6.99E-06,6.99E+00
SNPZ5,N,P,Z,5,10,26900000,2437684.521,280_28_3,280,28,T0,11.03506207,NA,0.747617,17.48028228,7.17E-06,7.17E+00
SNPZ6,N,P,Z,6,18,80424000,6162067.203,280_28_3,280,28,T30,13.05146428,0.004109697,1.01138077,16.79505037,2.73E-06,2.73E+00
SNPZ7,N,P,Z,7,8.5,13362000,1004809.952,280_28_3,280,28,T90,13.29803709,0.002930096,0.665825085,20.83531563,2.07E-05,2.07E+01
SNPZ8,N,P,Z,8,12,17616000,1437577.873,280_28_3,280,28,T60,12.25394487,0.002146307,0.661011624,12.73633933,8.86E-06,8.86E+00
SNPZ9,N,P,Z,9,7.5,16980000,1749613.857,400_31_3,400,31,T0,9.704998581,NA,0.528078387,11.45577087,6.55E-06,6.55E+00
SNSX1,N,S,X,1,24,62592000,6974228.817,280_31_1,280,31,T0,8.974755724,NA,0.401125124,NA,NA,NA
SNSX10,N,S,X,10,10,12980000,1147926.041,400_31_1,400,31,T60,11.30734868,0.000503083,0.552737885,11.01103393,9.59E-06,9.59E+00
SNSX11,N,S,X,11,4,7440000,692263.2523,400_31_1,400,31,T30,10.74735655,0.001290218,0.322559938,2.104837584,3.04E-06,3.04E+00
SNSX12,N,S,X,12,9,4662000,567068.1577,400_31_1,400,31,T90,8.221233968,0.000828558,0.264558825,6.932292673,1.22E-05,1.22E+01
SNSX13,N,S,X,13,9,33858000,3101716.357,400_28_1,400,28,T0,10.91589175,NA,0.584010921,4.321391332,1.39E-06,1.39E+00
SNSX17,N,S,X,17,35,27020000,2758199.688,700_31_1,700,31,T0,9.796245036,NA,0.24562983,3.329536969,1.21E-06,1.21E+00
SNSX18,N,S,X,18,9.5,32452000,2823598.827,700_31_1,700,31,T30,11.49313411,0.001050635,0.406402056,3.905998099,1.38E-06,1.38E+00
SNSX19,N,S,X,19,26,39000000,2982693.913,700_31_1,700,31,T90,13.07542816,0.001323425,0.695961913,11.96298263,4.01E-06,4.01E+00
SNSX2,N,S,X,2,7.5,7290000,1197489.708,280_31_1,280,31,T90,6.087734992,0.000593032,0.615992648,18.20505001,1.52E-05,1.52E+01
SNSX20,N,S,X,20,7.5,10995000,1060587.76,700_31_1,700,31,T60,10.36689316,0.00123535,0.518477418,5.396008149,5.09E-06,5.09E+00
SNSX21,N,S,X,21,18,10872000,1144718.218,700_28_1,700,28,T0,9.497533826,NA,0.135035055,1.975620234,1.73E-06,1.73E+00
SNSX22,N,S,X,22,11.5,10695000,945909.5177,700_28_1,700,28,T90,11.30657827,0.001559632,0.491601721,9.957134448,1.05E-05,1.05E+01
SNSX23,N,S,X,23,9,NA,NA,700_28_1,700,28,T30,10.53825664,0.001209169,0.548003355,5.058658353,NA,NA
SNSX24,N,S,X,24,23,42780000,4818661.989,700_28_1,700,28,T60,8.877983162,0.000923601,1.101038358,10.13289599,2.10E-06,2.10E+00
SNSX25,N,S,X,25,21.5,41452000,3700401.493,2800_31_1,2800,31,T0,11.20202769,NA,0.172736584,1.291480471,3.49E-07,3.49E-01
SNSX26,N,S,X,26,13,10036000,823096.6869,2800_31_1,2800,31,T60,12.19297825,0.000499207,0.630827556,3.969445284,4.82E-06,4.82E+00
SNSX27,N,S,X,27,4,1696000,173776.8647,2800_31_1,2800,31,T30,9.759642072,0.000855898,0.283480341,1.688979973,9.72E-06,9.72E+00
SNSX28,N,S,X,28,21.5,11524000,1050516.688,2800_31_1,2800,31,T90,10.96984002,0.000361593,0.326653199,4.042370712,3.85E-06,3.85E+00
SNSX29,N,S,X,29,17,44064000,4051086.33,2800_28_1,2800,28,T0,10.87708244,NA,0.677264947,3.176028147,7.84E-07,7.84E-01
SNSX3,N,S,X,3,4,36240000,3480718.577,280_31_1,280,31,T30,10.41164323,0.00161743,0.445014608,5.15386081,1.48E-06,1.48E+00
SNSX30,N,S,X,30,9,7254000,804722.5399,2800_28_1,2800,28,T90,9.014287087,0.000133135,0.341125146,6.069511595,7.54E-06,7.54E+00
SNSX31,N,S,X,31,9,14022000,1526842.224,2800_28_1,2800,28,T60,9.183660091,0.000248692,0.677834321,7.809766399,5.11E-06,5.11E+00
SNSX32,N,S,X,32,9,9720000,1122590.542,2800_28_1,2800,28,T30,8.658544355,0.000463851,0.251196958,3.078429688,2.74E-06,2.74E+00
SNSX37,N,S,X,37,15,13650000,1276556.489,400_28_1,400,28,T60,10.6928288,0.000907157,0.420842799,8.11788925,6.36E-06,6.36E+00
SNSX4,N,S,X,4,10.5,33999000,3566240.281,280_31_1,280,31,T60,9.533569619,0.00112185,0.816850384,16.22346363,4.55E-06,4.55E+00
SNSX40,N,S,X,40,7,34958000,3617578.053,400_28_1,400,28,T30,9.663371319,0.000515412,0.543288654,5.897734664,1.63E-06,1.63E+00
SNSX5,N,S,X,5,7.5,27135000,2769938.098,280_28_1,280,28,T0,9.796247799,NA,0.561439452,2.899918477,1.05E-06,1.05E+00
SNSX6,N,S,X,6,12.5,11650000,1200416.392,280_28_1,280,28,T60,9.704965771,0.001518356,0.558133516,8.311786142,6.92E-06,6.92E+00
SNSX7,N,S,X,7,26,76960000,7375529.788,280_28_1,280,28,T30,10.43450467,0.001585748,0.892871005,6.117304273,8.29E-07,8.29E-01
SNSX8,N,S,X,8,10,23200000,1624165.577,280_28_1,280,28,T90,14.28425791,0.001424639,0.560057096,12.52198057,7.71E-06,7.71E+00
SNSX9,N,S,X,9,18,65016000,6643221.676,400_31_1,400,31,T0,9.786817778,NA,0.444475426,4.067381339,6.12E-07,6.12E-01
SNSY1,N,S,Y,1,8,11376000,1432268.003,400_31_2,400,31,T60,7.942647586,NA,0.629513011,15.65350076,1.09E-05,1.09E+01
SNSY11,N,S,Y,11,11.5,24081000,1929425.174,400_31_2,400,31,T90,12.48091936,0.00061673,0.491416791,12.78572479,6.63E-06,6.63E+00
SNSY13,N,S,Y,13,9,18846000,1628732.544,400_28_2,400,28,T0,11.57096054,NA,0.55094821,3.379605337,2.07E-06,2.07E+00
SNSY14,N,S,Y,14,14,30240000,2789433.98,400_28_2,400,28,T90,10.84090902,0.000846804,NA,13.17718281,4.72E-06,4.72E+00
SNSY15,N,S,Y,15,12,24864000,2604379.955,400_28_2,400,28,T60,9.546994076,0.000751971,0.670368071,10.26775959,3.94E-06,3.94E+00
SNSY17,N,S,Y,17,11,25498000,3242447.069,700_31_2,700,31,T0,7.863813799,NA,0.582838487,3.545638378,1.09E-06,1.09E+00
SNSY18,N,S,Y,18,5,7600000,633937.6555,700_31_2,700,31,T30,11.9885606,0.00106654,0.063602298,3.452037436,5.45E-06,5.45E+00
SNSY19,N,S,Y,19,8,35760000,3714739.084,700_31_2,700,31,T60,9.626517285,0.001321373,0.588651794,13.44366568,3.62E-06,3.62E+00
SNSY2,N,S,Y,2,40,63840000,6907787.177,280_31_2,280,31,T30,9.241743899,0.000862459,0.541023432,27.87394271,4.04E-06,4.04E+00
SNSY20,N,S,Y,20,13,27430000,2200513.572,700_31_2,700,31,T90,12.4652719,0.001195271,0.617047645,11.07142476,5.03E-06,5.03E+00
SNSY21,N,S,Y,21,10,34640000,3731291.122,700_28_2,700,28,T0,9.283649778,NA,0.175038917,4.9867284,1.34E-06,1.34E+00
SNSY22,N,S,Y,22,11,27016000,2336357.642,700_28_2,700,28,T90,11.56329815,0.001172942,0.491497604,14.26744237,6.11E-06,6.11E+00
SNSY23,N,S,Y,23,17.5,27580000,3378828.293,700_28_2,700,28,T60,8.162592949,0.001029954,0.464517426,12.78260482,3.78E-06,3.78E+00
SNSY24,N,S,Y,24,8,22704000,2766033.752,700_28_2,700,28,T30,8.208142791,0.000182537,0.487320957,5.896505608,2.13E-06,2.13E+00
SNSY25,N,S,Y,25,20,15600000,1951596.947,2800_31_2,2800,31,T0,7.993453783,NA,0.215801585,4.036583043,2.07E-06,2.07E+00
SNSY26,N,S,Y,26,12.5,39075000,3256540.381,2800_31_2,2800,31,T60,11.99892998,0.000882332,0.75527568,6.09430342,1.87E-06,1.87E+00
SNSY27,N,S,Y,27,4,8216000,826106.742,400_31_2,400,31,T30,9.945446009,NA,0.335161775,NA,NA,NA
SNSY28,N,S,Y,28,8,38048000,3692237.593,2800_31_2,2800,31,T30,10.30486231,0.000484236,0.388166273,2.739770718,7.42E-07,7.42E-01
SNSY29,N,S,Y,29,14,28392000,3234462.624,2800_28_2,2800,28,T0,8.777965091,NA,0.257178056,2.83677592,8.77E-07,8.77E-01
SNSY3,N,S,Y,3,9,10080000,2954661.582,280_31_2,280,31,T90,3.411558218,0.000129505,0.168178282,10.58875672,3.58E-06,3.58E+00
SNSY30,N,S,Y,30,10,21580000,2185185.665,2800_28_2,2800,28,T30,9.875591052,0.000564672,0.531613751,5.202775179,2.38E-06,2.38E+00
SNSY31,N,S,Y,31,10,16780000,2218001.887,2800_28_2,2800,28,T60,7.565367773,0.000322581,0.991359604,9.248544433,4.17E-06,4.17E+00
SNSY32,N,S,Y,32,23,58052000,5294519.318,2800_28_2,2800,28,T90,10.96454588,0.000870532,1.136237968,9.532046389,1.80E-06,1.80E+00
SNSY33,N,S,Y,33,10.5,7665000,725559.0159,280_31_2,280,31,T0,10.56426815,NA,0.306457575,1.676534499,2.31E-06,2.31E+00
SNSY37,N,S,Y,37,22,21912000,2104832.927,400_31_2,400,31,T0,10.41032745,NA,0.405046497,4.463874958,2.12E-06,2.12E+00
SNSY39,N,S,Y,39,32.5,38870000,4106161.479,400_28_2,400,28,T30,9.466261909,0.000255686,0.313283641,7.632191111,1.86E-06,1.86E+00
SNSY4,N,S,Y,4,25,69200000,5516070.036,280_31_2,280,31,T60,12.54516341,0.000750062,0.498199967,12.58046586,2.28E-06,2.28E+00
SNSY40,N,S,Y,40,17.5,38430000,4002636.385,2800_31_2,2800,31,T90,9.601171904,0.000361617,0.622753839,11.48833091,2.87E-06,2.87E+00
SNSY5,N,S,Y,5,10,43300000,4752004.979,280_28_2,280,28,T0,9.111943316,NA,0.365820245,2.732800143,5.75E-07,5.75E-01
SNSY6,N,S,Y,6,9,21168000,2091283.469,280_28_2,280,28,T90,10.12201374,0.001211096,0.392708418,15.93864661,7.62E-06,7.62E+00
SNSY7,N,S,Y,7,65.5,41658000,4558056.598,280_28_2,280,28,T60,9.139421396,0.000684479,0.349379338,8.979614403,1.97E-06,1.97E+00
SNSY8,N,S,Y,8,45,59400000,4895588.306,280_28_2,280,28,T30,12.13337321,0.000987573,0.449689456,8.469282056,1.73E-06,1.73E+00
SNSZ1,N,S,Z,1,8,18016000,1529342.137,280_31_3,280,31,T0,11.78022861,NA,0.554601574,4.406243862,2.88E-06,2.88E+00
SNSZ10,N,S,Z,10,9,7344000,858252.833,400_31_3,400,31,T90,8.556919031,0.000407711,0.455771521,12.68538823,1.48E-05,1.48E+01
SNSZ12,N,S,Z,12,4,10152000,1160352.727,400_31_3,400,31,T60,8.749063764,0.000706604,NA,NA,NA,NA
SNSZ17,N,S,Z,17,21,21756000,2043328.247,700_31_2,700,31,T0,10.64733482,NA,0.073962171,0.986543597,4.83E-07,4.83E-01
SNSZ18,N,S,Z,18,13,21502000,2013440.338,700_31_3,700,31,T90,10.67923374,0.001081896,0.578225006,10.80479019,5.37E-06,5.37E+00
SNSZ19,N,S,Z,19,6,28548000,2338090.253,700_31_3,700,31,T30,12.20996494,0.000834181,0.274366062,9.737462853,4.16E-06,4.16E+00
SNSZ2,N,S,Z,2,9,22896000,1955514.842,280_31_3,280,31,T90,11.70842558,0.000845369,0.384338609,13.26984221,6.79E-06,6.79E+00
SNSZ20,N,S,Z,20,15,31200000,3298029.212,700_31_3,700,31,T60,9.460195162,0.000772277,0.766368968,10.51026097,3.19E-06,3.19E+00
SNSZ21,N,S,Z,21,18,49968000,4092232.194,700_28_3,700,28,T0,12.21045083,NA,0.234020843,1.709014703,4.18E-07,4.18E-01
SNSZ22,N,S,Z,22,12,23352000,2237756.774,700_28_3,700,28,T90,10.43545048,0.00110598,0.75703488,15.9640449,7.13E-06,7.13E+00
SNSZ23,N,S,Z,23,10.5,21945000,2684161.288,700_28_3,700,28,T30,8.175738208,0.000894048,0.385286309,4.311214364,1.61E-06,1.61E+00
SNSZ24,N,S,Z,24,20,64800000,5295533.639,700_28_3,700,28,T60,12.2367271,0.000912964,0.708250384,9.90246485,1.87E-06,1.87E+00
SNSZ25,N,S,Z,25,10,26920000,2508077.15,2800_31_3,2800,31,T0,10.73332214,NA,0.240683481,18.64154988,7.43E-06,7.43E+00
SNSZ26,N,S,Z,26,10,14480000,1379291.301,2800_31_3,2800,31,T30,10.49814494,0.001031091,0.269888952,2.188211358,1.59E-06,1.59E+00
SNSZ27,N,S,Z,27,5,6080000,512782.4721,400_28_3,400,28,T30,11.85687954,0.000160315,0.231932862,1.345865069,2.62E-06,2.62E+00
SNSZ29,N,S,Z,29,10,18480000,1765084.07,2800_28_3,2800,28,T0,10.46975626,NA,0.469606602,1.815612467,1.03E-06,1.03E+00
SNSZ3,N,S,Z,3,5,16410000,1435900.194,280_31_3,280,31,T30,11.42837091,0.001174682,0.404694601,7.94833146,5.54E-06,5.54E+00
SNSZ32,N,S,Z,32,20,27760000,2857605.155,2800_28_3,2800,28,T90,9.714428164,0.000550086,0.977926836,14.3870455,5.03E-06,5.03E+00
SNSZ34,N,S,Z,34,60,110160000,10549932.15,400_31_3,400,31,T30,10.44177331,0.001081177,0.280124832,10.37874284,9.84E-07,9.84E-01
SNSZ38/SNSX38,N,S,Z,38,16,57280000,4514513.065,400_28_1,400,28,T90,12.6879686,0.000818795,0.945777877,15.34127378,3.40E-06,3.40E+00
SNSZ4,N,S,Z,4,12,16752000,1465839.754,280_31_3,280,31,T60,11.42826148,0.001569986,0.603766374,15.19097199,1.04E-05,1.04E+01
SNSZ41,N,S,Z,41,16,26304000,3010142.223,2800_31_3,2800,31,T90,8.738457538,0.000341453,0.839202262,7.24440895,2.41E-06,2.41E+00
SNSZ42,N,S,Z,42,5.5,NA,NA,2800_31_3,2800,31,T60,8.058395622,0.000117861,0.477762595,7.072375529,NA,NA
SNSZ47,N,S,Z,47,47.5,36670000,3684942.71,400_28_3,400,28,T60,9.951308036,0.000649206,0.196896226,5.815195328,1.58E-06,1.58E+00
SNSZ48,N,S,Z,48,5,12690000,1676899.906,2800_28_3,2800,28,T30,7.567535755,5.69E-05,0.253274874,4.58818843,2.74E-06,2.74E+00
SNSZ5,N,S,Z,5,13,NA,NA,280_28_3,280,28,T0,13.01024274,NA,0.616181176,3.302259677,NA,NA
SNSZ50,N,S,Z,50,9,11322000,1373413.514,400_28_3,400,28,T90,8.243693459,0.000594005,0.09279821,8.210999151,5.98E-06,5.98E+00
SNSZ52,N,S,Z,52,6,6564000,986365.2024,2800_28_3,2800,28,T60,6.654735978,0.000359882,0.360645412,7.246568483,7.35E-06,7.35E+00
SNSZ56,N,S,Z,56,8,6032000,627986.8666,400_28_3,400,28,T0,9.605296418,NA,0.45113999,2.829772119,4.51E-06,4.51E+00
SNSZ6,N,S,Z,6,10,16680000,1510987.645,280_28_3,280,28,T60,11.03913725,0.001007943,0.596363029,13.97906344,9.25E-06,9.25E+00
SNSZ7,N,S,Z,7,20,65200000,5483084.184,280_28_3,280,28,T30,11.89111781,0.001030566,0.1976265,4.571613944,8.34E-07,8.34E-01
SNSZ8,N,S,Z,8,10,28440000,2339857.282,280_28_3,280,28,T90,12.15458747,0.00098561,0.459360167,17.02441983,7.28E-06,7.28E+00
SNSZ9,N,S,Z,9,25,88300000,8149652.642,400_31_3,400,31,T0,10.83481761,NA,0.328801105,3.366450761,4.13E-07,4.13E-01